Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,other details
B10DG3C,Industrial Diesel Generator,Iron,0.6154,0.0593,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Gallium,0.1069,0.1485,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Hafnium,0.2025,0.0664,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Mercury,0.0316,0.0227,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Indium,0.1993,0.1791,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Potassium,0.4008,0.7222,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Lutetium,0.0033,0.0024,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7440 09 07,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Magnesium,0.0214,0.0154,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Manganese,0.0048,0.0034,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
B10DG3C,Industrial Diesel Generator,Molybdenum,0.1674,0.0327,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,"MICO, Banglore",27/10/2007,NIL,Composite of 3 samples from a 1250KVA industrial generator exhaust stack in Bangaluru with dilution 0f 1:15 for 15 mins sampling duration,12.9439839,77.5163398,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,"Manufacturing fuel injection pumps for vehicles,20 lt/hr of low sulphur diesel"
