Id,Name,Specie,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
B25FC3C,Fuel Oil Combustion in Boilers,Iron,0.1663,0.0128,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Gallium,0.0149,0.0100,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Hafnium,0.0109,0.0042,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Mercury,0.002,0.0015,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Indium,0.0188,0.0119,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Potassium,0.0559,0.0481,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Lutetium,0.0004,0.0002,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7440 09-7,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Magnesium,0.0413,0.0037,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Manganese,0.0016,0.0003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
B25FC3C,Fuel Oil Combustion in Boilers,Molybdenum,0.0117,0.0022,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,Banglore Milk Dairy,25-10-2007,NIL,Composite of 3 samples taken from the exhaust stack of an Industrial boiler  using an isokinetic sampling probe and a dilution chamber(1:08) for 60 min sampling duration,16.0527611,72.9865507,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,Furnace oil combustion in the boiler to produce steam for pasteurization.Furnace oil (product code-3080-from Chennai petroleum corporation limited)
