Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
C10WC3C,Wood Combustion in Chulha (Stove),Iron,0.0561,0.0077,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Gallium,0.0229,0.0336,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Hafnium,0.0753,0.0167,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Mercury,0.0072,0.0051,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Indium,0.0574,0.0412,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Potassium,0.9067,0.2100,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Lutetium,0.0093,0.0011,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7440 09-7,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Magnesium,0.0425,0.0060,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Manganese,0.0024,0.0008,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
C10WC3C,Wood Combustion in Chulha (Stove),Molybdenum,0.0447,0.0078,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Laboratory samples at kanpur,3-10-2007,composite of 3 samples from a stove burning fire wood from kanpur,26.4499,80.3319,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,Samples collected from kanpur sampled in laboratory for 15 min duration of sampling with dilution ratio of 1:10
