Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Control Method,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,other details
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Iron,1.6627,0.1188,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",15/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Gallium,0.0081,0.0146,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",16/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Hafnium,0.0153,0.0063,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",17/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Mercury,0.0031,0.0023,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",18/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Indium,0.1901,0.0287,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",19/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Potassium,0.0877,0.0744,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",20/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Lutetium,0.0017,0.0003,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",21/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7440 09 07,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Magnesium,0.1227,0.0098,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",22/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Manganese,0.0223,0.0018,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",23/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
C10HSP3C,Low Sulfur Heavy Stock (LSHS) Power Plant,Molybdenum,0.0093,0.0028,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM2.5,3,"Patil et al.,2013",India,"GMR Power plant, Basin Bridge Chennai",24/11/2007,NIL,Composite of 3 samples from a 200MW power plant in Chennai with dilution 0f 1:8 for 45 mins samoling duration,13.1032427,80.2684266,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,Production of electricity 200 MW using engine Hundai. Low sulphur Heavy stock fuel
