Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
K10CC3C,Coal Combustion in Stoves,Iron,0.0061,0.0044,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Gallium,0.0392,0.0349,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Hafnium,0.0202,0.0137,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Mercury,0.0073,0.0052,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Indium,0.0992,0.0440,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Potassium,2.0697,0.2854,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Lutetium,0.0008,0.0005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7440 09-7,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Magnesium,0.0049,0.0035,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Manganese,0.0017,0.0008,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
K10CC3C,Coal Combustion in Stoves,Molybdenum,0.0114,0.0059,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,3,"Patil et al.,2013",India,Samples Collected from Kanpur,3-10-2007,composite of 3 samples taken from the exhaust line of a boiler in bengaluru,26.4499,80.3319,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,samples were collected from the dpmestic/tandoor stoves and samples at 1:10 dilution ratio for 60 minute duration
