Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
D10UPD1,Unpaved Road Dust,Iron,4.7725,0.2893,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Gallium,0.0008,0.0011,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Hafnium,0.0006,0.0004,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Mercury,0.007,0.0005,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Indium,0.0733,0.0053,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Potassium,1.1014,0.0601,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Lutetium,0.0001,0.0000,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7440 09-7,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Magnesium,1.1653,0.0740,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Manganese,0.0668,0.0044,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
D10UPD1,Unpaved Road Dust,Molybdenum,0.0004,0.0002,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",28.7041,77.1025,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
