Id,Name,Species,Mass,Uncertainity,Analythical Method,Uncertainty Method,Particle Size,N Samples,Reference,Country,Place,Test Year,Sampling Method,Latitude,Longitude,CAS Number,Symbol,Reference,Link,Other comments
B10UPD1,Unpaved Road Dust,Iron,2.7162,0.3531,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7439-89-6,Fe,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.11",https://doi.org/10.1016/j.atmosres.2013.04.022,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Gallium,0.0151,0.0108,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-55-3,Ga,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.12",https://doi.org/10.1016/j.atmosres.2013.04.023,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Hafnium,0.0058,0.0042,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-58-6,Hf,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.13",https://doi.org/10.1016/j.atmosres.2013.04.024,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Mercury,0.002,0.0019,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7439-97-6,Hg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.14",https://doi.org/10.1016/j.atmosres.2013.04.025,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Indium,0.0646,0.0129,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-74-6,In,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.15",https://doi.org/10.1016/j.atmosres.2013.04.026,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Potassium,0.2068,0.0820,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440-74-7,K,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.16",https://doi.org/10.1016/j.atmosres.2013.04.027,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Lutetium,0.0002,0.0002,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7440 09-7,Lu,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.17",https://doi.org/10.1016/j.atmosres.2013.04.028,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Magnesium,0.2291,0.0485,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7439-95-4,Mg,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.18",https://doi.org/10.1016/j.atmosres.2013.04.029,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Manganese,0.0356,0.0055,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7439-96-5,Mn,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.19",https://doi.org/10.1016/j.atmosres.2013.04.030,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
B10UPD1,Unpaved Road Dust,Molybdenum,0.0024,0.0017,Inductively Coupled Plasma Atomic Emission Spectroscopy (ICP-AES),standard deviation,PM10,1,"Patil et al.,2013",India,"Manoj Metals,Panki Industrail Area, Kanpur",3-12-2007,"The dust samples from the unpaved roads were collected by sweeping with a broom or a shovel, domestic broom was used for sampling",12.9716,77.5946,7439-98-7,Mo,"Patil, R. S., Kumar, R., Menon, R., Shah, M. K., & Sethi, V. (2013). Development of particulate matter speciation profiles for major sources in six cities in India. Atmospheric Research, 132-133, 1–11. doi:10.1016/j.atmosres.2013.04.20",https://doi.org/10.1016/j.atmosres.2013.04.031,The dust samples were collected from 2 km x 2 km of grid surrounding the ambient site
